player_name,team_name,pos,games_played,g,a,pts,pims,sog,gwg,ppp,shp,hits,blk
Carl Dahlstrom,WPG,D,38,0,6,6,6,42,0,0,1,33,35
John Hayden,NJ,C,54,3,2,5,27,42,0,0,0,97,23
Charles Hudon,MON,LW,32,3,2,5,16,50,0,1,0,73,9
Ben Street,NJ,C,21,3,2,5,2,19,0,0,0,19,9
Alan Quine,CGY,C,13,3,2,5,6,11,0,1,0,14,2
Jonathan Ericsson,DET,D,52,3,2,5,35,48,1,0,0,98,56
Karson Kuhlman,BOS,C,11,3,2,5,2,15,1,0,0,6,4
Mackenzie MacEachern,STL,LW,29,3,2,5,10,33,1,0,0,49,4
Ryan Graves,COL,D,26,3,2,5,2,26,0,0,0,32,51
Josh Currie,EDM,RW,21,2,3,5,2,19,0,0,0,39,17
Paul LaDue,LA,D,33,2,3,5,12,33,1,0,0,51,25
Max Jones,ANH,LW,30,2,3,5,14,58,1,1,0,30,5
Gavin Bayreuther,DAL,D,19,2,3,5,10,25,0,2,0,11,19
Juuso Riikola,PIT,D,37,2,3,5,10,43,1,2,0,86,38
Nicolas Deslauriers,ANH,LW,48,2,3,5,22,48,0,0,1,135,22
Vladislav Kamenev,COL,C,23,2,3,5,10,22,0,1,1,20,4
Valentin Zykov,VGK,RW,28,2,3,5,2,29,0,2,0,26,6
Mark Borowiecki,OTT,D,53,1,4,5,89,59,0,0,0,212,93
Martin Marincin,TOR,D,24,1,4,5,12,34,0,0,0,21,21
Noah Juulsen,MON,D,21,1,4,5,6,22,0,0,0,60,39
Ben Harpur,TOR,D,51,1,4,5,56,50,0,0,0,89,69
Josh Mahura,ANH,D,17,1,4,5,4,20,0,3,0,6,18
Dillon Dube,CGY,C,25,1,4,5,4,22,0,0,0,11,3
Jacob Larsson,ANH,D,49,0,5,5,16,57,0,0,0,41,59
Dean Kukan,CLS,D,25,0,5,5,6,16,0,0,0,16,21
Dan Hamhuis,NSH,D,57,0,5,5,28,39,0,0,0,38,61
Michael Chaput,ARI,C,32,0,5,5,14,31,0,0,0,53,17
Michael Stone,CGY,D,14,0,5,5,10,12,0,0,0,27,16
Frederick Gaudreau,NSH,C,55,3,1,4,2,43,1,0,0,25,18
Alexander Nylander,CHI,RW,12,2,2,4,4,16,0,1,0,1,1
Oscar Fantenberg,VAN,D,61,2,2,4,17,70,0,0,0,91,74
Sammy Blais,STL,LW,32,2,2,4,6,27,0,0,0,93,12
Max Veronneau,OTT,RW,12,2,2,4,0,15,0,1,0,0,5
Victor Olofsson,BUF,LW,6,2,2,4,2,21,0,2,0,2,3
Patrik Berglund,FA,C,23,2,2,4,6,25,0,0,0,25,16
Brandon Manning,EDM,D,39,2,2,4,25,33,0,0,0,63,40
Kurtis Gabriel,PHI,RW,22,2,2,4,59,7,1,0,0,78,8
Corban Knight,FA,C,23,1,3,4,0,15,0,0,0,9,13
Steve Santini,NSH,D,39,1,3,4,16,41,0,0,0,80,43
Tomas Hyka,FA,RW,17,1,3,4,2,22,0,2,0,6,5
Phil Di Giuseppe,NYR,LW,24,1,3,4,8,31,0,0,0,54,9
Andy Welinski,PHI,D,26,1,3,4,8,32,0,0,0,47,18
Korbinian Holzer,ANH,D,22,1,3,4,8,15,0,0,0,61,38
Connor Brickley,NYR,C,14,1,3,4,9,18,0,0,0,35,6
Sami Niku,WPG,D,30,1,3,4,2,19,0,0,0,10,30
Andreas Martinsen,ANH,LW,24,1,3,4,14,21,0,0,0,83,9
Denis Gurianov,DAL,RW,21,1,3,4,0,23,0,1,0,23,9
Ross Johnston,NYI,LW,17,1,3,4,23,12,0,0,0,43,1
Jaycob Megna,VGK,D,28,1,3,4,12,31,0,0,0,32,29
Jonas Siegenthaler,WAS,D,26,0,4,4,10,12,0,0,0,31,44
Ilya Lyubushkin,ARI,D,41,0,4,4,13,27,0,0,0,150,61
Andrej Sekera,DAL,D,24,0,4,4,6,28,0,1,0,17,21
Thomas Hickey,NYI,D,40,0,4,4,33,47,0,0,1,40,71
Julius Honka,DAL,D,29,0,4,4,10,38,0,0,0,16,31
Ryan Poehling,MON,C,1,3,0,3,0,3,0,0,0,1,0
Nathan Bastian,NJ,RW,7,3,0,3,10,13,0,0,0,24,1
Jonny Brodzinski,SJ,RW,13,2,1,3,2,17,0,0,0,23,7
Gemel Smith,TB,C,17,2,1,3,0,14,0,0,0,13,3
Nicolas Petan,TOR,C,18,1,2,3,2,15,1,0,0,2,4
Brendan Gaunce,BOS,C,3,1,2,3,0,2,1,0,0,4,0
Zac Rinaldo,CGY,C,23,1,2,3,20,11,1,0,0,47,8
Jori Lehtera,FA,C,27,1,2,3,33,17,0,0,0,29,7
Filip Zadina,DET,LW,9,1,2,3,0,18,0,2,0,6,3
Anders Bjork,BOS,LW,20,1,2,3,2,18,0,0,0,9,12
Clark Bishop,CAR,C,20,1,2,3,6,16,0,0,0,39,5
Juuso Valimaki,CGY,D,24,1,2,3,12,28,1,0,0,21,43
Vinni Lettieri,NYR,C,27,1,2,3,14,40,0,2,0,41,11
Jordan Kyrou,STL,RW,16,1,2,3,4,16,0,0,0,2,3
Michael McLeod,NJ,C,21,0,3,3,13,21,0,0,0,41,4
Joseph Gambardella,EDM,C,15,0,3,3,2,7,0,0,0,14,5
Scott Wilson,BUF,LW,15,0,3,3,4,25,0,0,0,29,2
Kevin Gravel,TOR,D,36,0,3,3,4,44,0,0,0,31,53
Quinn Hughes,VAN,D,5,0,3,3,2,6,0,2,0,1,1
Matt Hendricks,FA,LW,26,0,3,3,19,23,0,0,0,40,8
Xavier Ouellet,MON,D,19,0,3,3,13,32,0,0,0,32,30
Anthony Bitetto,WPG,D,36,0,3,3,12,30,0,0,0,80,36
C.J. Smith,BUF,LW,11,2,0,2,0,18,1,0,0,4,1
Joel L'Esperance,DAL,C,18,2,0,2,6,24,0,1,0,22,4
Ian McCoshen,FLA,D,19,1,1,2,8,15,0,0,0,41,13
Chad Ruhwedel,PIT,D,18,1,1,2,4,22,1,0,0,40,16
Josh Ho-Sang,NYI,RW,10,1,1,2,6,10,0,0,0,0,3
Dalton Prout,SJ,D,20,1,1,2,8,14,0,0,0,36,20
Darren Archibald,TOR,RW,12,1,1,2,12,10,0,0,0,10,4
Martin Hanzal,DAL,C,7,1,1,2,4,14,0,1,0,14,4
Chris Butler,FA,D,13,1,1,2,0,10,0,0,0,17,17
A.J. Greer,COL,LW,15,1,1,2,14,9,0,0,0,20,5
Philippe Myers,PHI,D,21,1,1,2,2,25,0,0,0,42,8
Nick Paul,OTT,LW,20,1,1,2,4,30,0,0,0,28,4
Andrew Agozzino,PIT,LW,11,1,1,2,0,11,0,0,0,14,3
Tyler Lewington,WAS,D,2,1,1,2,7,3,0,0,0,4,1
Josh Brown,FLA,D,37,1,1,2,28,28,0,0,0,80,31
Martin Necas,CAR,C,7,1,1,2,2,6,0,0,0,3,2
Eeli Tolvanen,NSH,LW,4,1,1,2,0,2,0,1,0,4,2
Kailer Yamamoto,EDM,LW,17,1,1,2,2,13,0,1,0,18,11
Mikhail Vorobyov,PHI,C,15,1,1,2,2,10,0,0,0,4,4
Adam Johnson,PIT,C,6,0,2,2,0,3,0,0,0,11,3
Danick Martel,TB,C,9,0,2,2,8,16,0,0,0,12,1
Isac Lundestrom,ANH,LW,15,0,2,2,2,13,0,0,0,4,5
Matt Hunwick,BUF,D,14,0,2,2,4,10,0,0,0,6,9
Alex Petrovic,BOS,D,35,0,2,2,26,47,0,0,0,116,53
Tom Pyatt,FA,C,37,0,2,2,2,29,0,0,0,15,46
Luke Schenn,TB,D,26,0,2,2,16,30,0,0,0,105,39
David Schlemko,FA,D,18,0,2,2,4,29,0,2,0,29,45
Jordan Nolan,STL,RW,14,0,2,2,14,17,0,0,0,22,4
Jordan Schmaltz,TOR,D,20,0,2,2,2,11,0,0,0,10,22
Luke Witkowski,TB,RW,34,0,2,2,23,14,0,0,0,67,27
John Quenneville,CHI,C,19,1,0,1,4,16,1,0,0,21,7
Nikita Scherbak,FA,RW,8,1,0,1,2,12,0,0,0,9,1
Sonny Milano,CLS,LW,8,1,0,1,0,5,0,0,0,5,0
Max McCormick,CAR,LW,14,1,0,1,4,12,0,0,0,21,6
Matt Read,TOR,RW,12,1,0,1,2,13,0,0,0,11,8
